fight_link,date,location,method,round,time,time_format,referee,details,name_1,name_2,stage_name_1,stage_name_2,win_loss_1,win_loss_2,kd_1,kd_2,sig_str_1,sig_str_2,total_str_1,total_str_2
http://ufcstats.com/fight-details/7fe2f0213d641540,"April 19, 2014","Orlando, Florida, USA",KO/TKO,1,0:44,3 Rnd (5-5-5),John McCarthy,Punch to Body At Distance,Caio Magalhaes,Luke Zachrich,"""Hellboy""",,W,L,1,0,16 of 26,3 of 11,18 of 28,3 of 11
http://ufcstats.com/fight-details/4e3ccffe18641d9c,"April 19, 2014","Orlando, Florida, USA",Submission,1,3:15,3 Rnd (5-5-5),Jorge Alonso,Rear Naked Choke,Donald Cerrone,Edson Barboza,"""Cowboy""","""Junior""",W,L,1,0,11 of 20,28 of 54,11 of 20,28 of 54
http://ufcstats.com/fight-details/9d1722fb8b83a92a,"April 19, 2014","Orlando, Florida, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,,Rafael Dos Anjos,Khabib Nurmagomedov,,"""The Eagle""",L,W,0,0,20 of 56,36 of 97,40 of 76,72 of 135
http://ufcstats.com/fight-details/a9660625bab5d4a3,"April 19, 2014","Orlando, Florida, USA",Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,,Fabricio Werdum,Travis Browne,"""Vai Cavalo""","""Hapa""",W,L,0,0,121 of 196,60 of 156,171 of 251,77 of 173
http://ufcstats.com/fight-details/56b57d076f874eb0,"March 15, 2014","Dallas, Texas, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Jacob Montalvo,,Kelvin Gastelum,Rick Story,,"""The Horror""",W,L,0,1,59 of 137,45 of 163,62 of 142,51 of 170
http://ufcstats.com/fight-details/220aa11288e919c6,"April 19, 2014","Orlando, Florida, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Thiago Alves,Seth Baczynski,"""Pitbull""","""The Polish Pistola""",W,L,0,0,116 of 236,90 of 335,120 of 240,91 of 336
http://ufcstats.com/fight-details/f5445d367e7dbb2b,"April 19, 2014","Orlando, Florida, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jorge Ortiz,,Brad Tavares,Yoel Romero,,"""Soldier of God""",L,W,0,0,21 of 70,31 of 48,35 of 87,63 of 81
http://ufcstats.com/fight-details/e446c5e4a8b8d189,"April 19, 2014","Orlando, Florida, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,Miesha Tate,Liz Carmouche,"""Cupcake""","""Girlrilla""",W,L,0,0,27 of 57,18 of 34,82 of 124,75 of 95
http://ufcstats.com/fight-details/a5f39e8ff1398269,"March 15, 2014","Dallas, Texas, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Don Turnage,,Sean Spencer,Alex Garcia,"""Black Magic""","""The Dominican Nightmare""",L,W,0,1,58 of 160,61 of 135,62 of 164,66 of 142
http://ufcstats.com/fight-details/639013929b61e834,"March 15, 2014","Dallas, Texas, USA",KO/TKO,3,2:57,3 Rnd (5-5-5),Kerry Hatley,Knee to Head In Clinch,Dennis Bermudez,Jimy Hettes,"""The Menace""","""The Kid""",W,L,3,0,55 of 126,34 of 64,94 of 180,49 of 88
http://ufcstats.com/fight-details/427a10db0406cfba,"March 15, 2014","Dallas, Texas, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Don Turnage,,Jake Shields,Hector Lombard,,,L,W,0,0,4 of 72,27 of 56,58 of 128,67 of 98
http://ufcstats.com/fight-details/364ed6aecfc8d16d,"March 15, 2014","Dallas, Texas, USA",Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,,Renee Forte,Francisco Trevino,,"""Sitkayan""",L,W,0,0,14 of 70,47 of 116,20 of 79,63 of 133
http://ufcstats.com/fight-details/2d050cb1f7d8789a,"March 15, 2014","Dallas, Texas, USA",Submission,1,1:29,3 Rnd (5-5-5),Dan Miragliotta,"Von Flue Choke From Side Control
      Technical Submission",Ovince Saint Preux,Nikita Krylov,,"""The Miner""",W,L,0,0,1 of 1,1 of 4,1 of 1,1 of 4
http://ufcstats.com/fight-details/cdf58f62e289efec,"March 15, 2014","Dallas, Texas, USA",Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,,Johny Hendricks,Robbie Lawler,"""Bigg Rigg""","""Ruthless""",W,L,0,0,158 of 397,150 of 331,186 of 426,162 of 343
http://ufcstats.com/fight-details/ba38b96f39db78c0,"March 15, 2014","Dallas, Texas, USA",KO/TKO,2,2:00,3 Rnd (5-5-5),Jacob Montalvo,"to    
      Knee Injury",Carlos Condit,Tyron Woodley,"""The Natural Born Killer""","""The Chosen One""",L,W,0,1,13 of 43,14 of 29,52 of 84,34 of 49
http://ufcstats.com/fight-details/beed8bc1f800de8f,"April 11, 2014","Abu Dhabi, United Arab Emirates",KO/TKO,1,4:20,3 Rnd (5-5-5),Neil Hall,Punches to Head From Half Guard,Ramsey Nijem,Beneil Dariush,,,W,L,2,0,34 of 51,9 of 20,92 of 121,14 of 25
http://ufcstats.com/fight-details/99170b2f2496e479,"March 15, 2014","Dallas, Texas, USA",Decision - Split,3,5:00,3 Rnd (5-5-5),Don Turnage,,Raquel Pennington,Jessica Andrade,"""Rocky""","""Bate Estaca""",L,W,0,0,82 of 167,66 of 158,87 of 172,90 of 185
